Plate,VIN,Year,Make,Model,Category,UserDNI
6383MJB,WBAXXFTC1PDNVALBL,2023,BMW,X5,SUV,96178067-W
5651JZP,WDB875240H7WSNRC4,2017,Mercedes-Benz,Clase C,berlina,83099935-S
7591LJR,VF715Z2KXLDSPYMUR,2020,Citroën,C3,urbano,83099935-S
4763HGC,WF0356RN4BLCCB2A4,2011,Ford,Fiesta,urbano,43215058-J
8692GYX,WAU8UX7P4AMWKCRA4,2010,Audi,Q5,SUV,56223645-F
5486FZR,WDBRNVLG98SEL5VWE,2008,Mercedes-Benz,Clase A,urbano,56223645-F
1200KXR,WBAPXBMCXKUU1ZSDV,2019,BMW,Serie 1,urbano,88869583-K
2598HTK,WDB230L53DNRCPWK5,2013,Mercedes-Benz,GLA,SUV,31657257-B
8774HGC,VF3BU41VXB6PYX2C4,2011,Peugeot,5008,monovolumen,31657257-B
4291HBG,VF15ALZA1A21R6NU6,2010,Renault,Scénic,monovolumen,49453246-A
3378GYM,VF3XKMPN7AG0LH9YJ,2010,Peugeot,308,berlina,49453246-A
1399KKR,VF3KPMCS2JRFB3SGV,2018,Peugeot,308,berlina,50271686-B
6533KTJ,JT2R1CYP0KYF5X9SZ,2019,Toyota,Corolla,berlina,50271686-B
0110MFZ,WDB12JSJ7P8UHRUPK,2023,Mercedes-Benz,Clase C,berlina,18099087-L
3800JPK,WDBTKZJS2G0PZDLLU,2016,Mercedes-Benz,Clase A,urbano,18099087-L
0880LZP,VF7JBS310NT2KKTV2,2022,Citroën,C4,berlina,29090215-E
3697HNK,VF3121C16CH7KY0DU,2012,Peugeot,5008,monovolumen,29090215-E
6965GTS,WBAVFWGJ3AHJ1BGZ3,2010,BMW,Serie 3,berlina,78604753-E
2786HKX,WDBC79WV7CXLG5TKK,2012,Mercedes-Benz,Clase A,urbano,78604753-E
3390HYD,WF0WJZC58EWMNHWA1,2014,Ford,Kuga,SUV,91013273-L
1260HSK,VSSSA8MC7DX5KJFPE,2013,Seat,Ibiza,urbano,30933008-D
5595GCK,JT2X4LJM48LC3R67N,2008,Toyota,Corolla,berlina,30933008-D
1399LHG,WAUZH6HD4LSVWSAHU,2020,Audi,A4,berlina,17699076-R
9777LJD,VSSL6XW98L3GBK3RJ,2020,Seat,Ateca,SUV,17699076-R
3476LMX,WDB1B5UF4MCZEDRAA,2021,Mercedes-Benz,Clase A,urbano,17699076-R
0226LJD,WF088KT7XLTZW786W,2020,Ford,Fiesta,urbano,80882161-Q
4919HBG,VF7X4APG6A6ZR9T0H,2010,Citroën,C4,berlina,80882161-Q
2201LJD,VF3U5UAJ7LTR27NKL,2020,Peugeot,208,urbano,80882161-Q
9148LFH,VF1AXCGR0LWJ5WNGH,2020,Renault,Scénic,monovolumen,90243835-T
1782GZJ,WF07FHBY2A3533ZG8,2010,Ford,Focus,berlina,90243835-T
2053KDK,WBAKLM952HXMTGXLW,2017,BMW,Serie 1,urbano,46747582-J
6013KRZ,WVWADJ8P3J43TRUYP,2018,Volkswagen,Polo,urbano,46747582-J
3941KLN,VF747A250JK6VVPTN,2018,Citroën,C5 Aircross,SUV,46747582-J
8971GNY,WVWB0E5J990P9FUVU,2009,Volkswagen,Golf,urbano,42632349-D
6866GGV,WF0SXJ6NX8E5FFFEX,2008,Ford,Focus,berlina,42632349-D
8407JXF,WVWTS64R6HJ2MJ7CZ,2017,Volkswagen,Golf,urbano,42632349-D
5499HTV,VSS6E2R44DESHG1UR,2013,Seat,León,berlina,80390809-J
5939HCR,JT2YRC0B0BTZ8LHZU,2011,Toyota,Yaris,urbano,68097197-Q
3693JFG,WDBMWWEZXFVUEVB51,2015,Mercedes-Benz,GLA,SUV,68097197-Q
7338HHT,VF7HGX9R1B0MUE49G,2011,Citroën,C5 Aircross,SUV,72330844-F
9000MYW,VF7EAT9X1SGSAS52M,2025,Citroën,Berlingo,monovolumen,12342929-W
4032GKH,VF32A24M28F4XS82Y,2008,Peugeot,3008,SUV,60956619-H
0984GZJ,VSSSYH7G6ANRM369A,2010,Seat,Toledo,sedán,60956619-H
1465HVZ,VF12WC4Y8EGKSAGB8,2014,Renault,Scénic,monovolumen,76520788-H
0553MLY,WDBGT8NG5P3K0WVHL,2023,Mercedes-Benz,Clase A,urbano,78366968-B
1521JTR,WF0U5TAD3GL8DVY4W,2016,Ford,Kuga,SUV,78366968-B
2419LPD,VF1L8KPCXMRPJHVA0,2021,Renault,Mégane,berlina,92259815-F
6664KDK,VSSBTLW59HMLXUWZC,2017,Seat,Ibiza,urbano,69812480-M
4398HDR,VF39FJK56B3H5GJXN,2011,Peugeot,3008,SUV,69812480-M
8220KLN,WDBYMZ487JG6ZPFMS,2018,Mercedes-Benz,Clase C,berlina,39103984-M
7628FFK,VF3YG59T46CT8ZWUE,2006,Peugeot,308,berlina,39103984-M
9105KTJ,VF13W3PY3KXSJ6GLL,2019,Renault,Mégane,berlina,64084059-X
0174MSS,VF3XV8PA5R28AVSLB,2024,Peugeot,308,berlina,85453703-D
0192JZP,WVWJNCLN6HDEZK6BG,2017,Volkswagen,Passat,berlina,85453703-D
5894MMN,VF7LCD6Y6PEKHC1TG,2023,Citroën,C3,urbano,22711662-J
3717HRK,JT2D4WNLXDP9K0PA8,2013,Toyota,Corolla,berlina,22711662-J
3229LCY,WAU7P58Z3K071ZT1M,2019,Audi,A3,berlina,80122576-Y
7521LNN,VF1FJ1HN3MBCPPTK5,2021,Renault,Mégane,berlina,80122576-Y
1110HVF,VSSME39F9D4WXUEJA,2013,Seat,Ateca,SUV,18494896-K
1063GZT,WVW5DSG67AMV6B14D,2010,Volkswagen,Passat,berlina,81107868-R
9604HHT,WF0PS31L6B73APGGY,2011,Ford,Fiesta,urbano,81107868-R
4875LKV,WAUB3W6X9LJD86LM8,2020,Audi,Q5,SUV,27183350-H
3585JJW,WDBSAZXG4FSBCR1ZC,2015,Mercedes-Benz,GLA,SUV,53236562-A
6445HLK,VSS4DMGDXCKC0YKUA,2012,Seat,Ateca,SUV,35956453-R
1653GTC,JT2XEK996AZZ4X7L2,2010,Toyota,Yaris,urbano,35956453-R
9154MPL,VF1LJ5CZ0RDDXC3BV,2024,Renault,Clio,urbano,44902730-Z
1814FXY,VF7MMHCS273621D47,2007,Citroën,Berlingo,monovolumen,44902730-Z
1241DMJ,WDBC0W0E554D6N738,2005,Mercedes-Benz,GLA,SUV,44902730-Z
8422HFT,VF7CZAA46B7LEUFW1,2011,Citroën,C4,berlina,43285396-V
9994GWV,VF1BUFHA3AV0CRKC4,2010,Renault,Clio,urbano,43285396-V
9749HHT,WBA2EM7X8BL4XNM20,2011,BMW,Serie 1,urbano,43285396-V
3881HVZ,WDBHSRZBXEU991F2H,2014,Mercedes-Benz,GLA,SUV,79728250-S
9295JCY,WVWYYUC60FAG12840,2015,Volkswagen,Polo,urbano,93257504-W
4217HJC,JT233FDP5CM73Z9KA,2012,Toyota,Yaris,urbano,32023146-Q
8499KHY,WBAA003U4JWMKXM0M,2018,BMW,X5,SUV,78703495-W
4415LYZ,WBAJSFM79NNKYYNAN,2022,BMW,Serie 3,berlina,43906119-Q
4156HMT,VF7R6L0D8CK4U95E7,2012,Citroën,C4,berlina,43906119-Q
9982KKR,WBA3HX227JUZVSXS6,2018,BMW,X5,SUV,43906119-Q
6321HHT,WBACGXM23B77FZDHH,2011,BMW,Serie 1,urbano,30016973-H
7244HJM,VF7RGMYK2CXJWFMLD,2012,Citroën,C4,berlina,48279106-J
3079LBN,VF7A3NKE8KHCJVG38,2019,Citroën,Berlingo,monovolumen,22178732-Q
3863KZY,WBAKDNHG1K437TL81,2019,BMW,Serie 3,berlina,85212478-P
1040JMF,WF0MXEKW8GCY082NC,2016,Ford,Focus,berlina,88002978-X
1133LDR,WBAEFW441K12Y85KV,2019,BMW,Serie 1,urbano,88002978-X
9731CBP,WDBFK0WW12X00DDKT,2002,Mercedes-Benz,Clase A,urbano,52210397-Y
5425DRG,VSSMCM009571BX7GV,2005,Seat,Ateca,SUV,52210397-Y
7927LXD,WF0MNSH99NJKAZXPK,2022,Ford,Fiesta,urbano,77434947-L
3409HPC,VSS47HKP7DVD2MM55,2013,Seat,Ibiza,urbano,77434947-L
9286FYY,WDB3W63527E5J3V6X,2007,Mercedes-Benz,Clase A,urbano,71408114-Z
5698GTC,WF0UNLEG2A5W4K16L,2010,Ford,Fiesta,urbano,34387796-J
6958GVM,VF3AW3PM7ABWAGWYE,2010,Peugeot,308,berlina,27665673-P
3040MDF,WDBLW30BXNNH4J2F6,2022,Mercedes-Benz,Clase C,berlina,79622446-B
5624LYJ,WF0VKJPY8N48PNB5B,2022,Ford,Kuga,SUV,98986577-M
3085JRG,VF7B0ULX8GRFMWY0C,2016,Citroën,C3,urbano,98986577-M
2917MFG,VF3LV96Z0PRUAG157,2023,Peugeot,5008,monovolumen,24170247-F
3993MLH,WAU1ESMK8PK60ZA8A,2023,Audi,TT,deportivo,24170247-F
9803JBY,VF7E3TJK6EC0G8YJM,2014,Citroën,Berlingo,monovolumen,76648159-S
7903HLK,WAUAYNN51CELGJMU4,2012,Audi,A3,berlina,70381323-N
9457GCK,WDB5ETZJ58MWE3CLJ,2008,Mercedes-Benz,Clase A,urbano,70381323-N
7255FYY,JT2YWNS967LTF2P6A,2007,Toyota,Corolla,berlina,93462598-M
5423JRZ,VF3B9BH98G4ES3SH6,2016,Peugeot,5008,monovolumen,68181006-J
5110LLJ,WDBYKFE35L2Z7YDV0,2020,Mercedes-Benz,Clase A,urbano,97488206-S
0182HMT,WBA40YVM8CUWCJCUA,2012,BMW,Serie 3,berlina,27671601-W
2143JRG,VF19WZ594G160XKZF,2016,Renault,Clio,urbano,33402406-N
4123MJB,VSS50FYM5PD1EA9RU,2023,Seat,León,berlina,33402406-N
9445HSZ,VF7H6D701DRUGJ27L,2013,Citroën,C3,urbano,99785666-M
3957MLH,WBAJH2M20PM0B7AAP,2023,BMW,Serie 1,urbano,99785666-M
6886JSL,WDBGWN0B8GLCRVVLH,2016,Mercedes-Benz,Clase C,berlina,35189576-J
8565MJB,WVWCDYKB3PZTES616,2023,Volkswagen,Golf,urbano,35189576-J
7077GVM,VF1LYP953A04C0E9F,2010,Renault,Clio,urbano,81188390-T
1998LFY,WBA7GMPD1LCLDKXDG,2020,BMW,Serie 3,berlina,81188390-T
2920HML,VF1L7D4X8CL3NZWBH,2012,Renault,Clio,urbano,81188390-T
0799LGG,VF34EPHR6LRVV8D57,2020,Peugeot,3008,SUV,15709929-D
8180HZL,WDBS9ZC26E6GN7K55,2014,Mercedes-Benz,Clase C,berlina,82117268-T
2872JBY,WAU3CFMY4EE1N1BK9,2014,Audi,A3,berlina,84796376-E
7454GYX,VF7PST4A2AWDJ1ZZE,2010,Citroën,C5 Aircross,SUV,84796376-E
6846HRX,JT2HSEMC7DXUP3EED,2013,Toyota,Yaris,urbano,56991454-F
6337JYB,VSS4HS4MXH1MRJ3F1,2017,Seat,León,berlina,96429793-Q
6784HNK,WVWUMAWFXCGV0YX6S,2012,Volkswagen,Tiguan,SUV,20122061-M
1017LFY,JT2BR3Z71LTMAME8W,2020,Toyota,Corolla,berlina,81353924-A
4471KHG,WAUE7P5J2JE2NBTUF,2018,Audi,TT,deportivo,58747007-Q
7341MPL,WBA2NF180R086MNJS,2024,BMW,Serie 1,urbano,76551690-P
3469KXR,VF7H7GYX0K8MMK5CW,2019,Citroën,C4,berlina,54280558-Y
8904DGX,WF0X4V96152TEBXAW,2005,Ford,Kuga,SUV,66648856-P
4323KHY,WBAR76T41JNCUVGV3,2018,BMW,Serie 5,berlina,66648856-P
6697DFF,VF3CNZLE14KSTB0A2,2004,Peugeot,5008,monovolumen,45896718-B
3103DTB,VF39KH2365H53MC4Y,2005,Peugeot,308,berlina,27905490-G
4389DMJ,WF0Z7VLB85ED4EC69,2005,Ford,Mustang,deportivo,27905490-G
6115JFG,WBA5Y6995FMU65XWR,2015,BMW,Serie 1,urbano,27905490-G
8189HZL,VF35FN7U4EW8AZ8FS,2014,Peugeot,208,urbano,26149351-F
5870HSK,WBABV1809DVDPUXC3,2013,BMW,Serie 3,berlina,16843529-P
2684JYB,WAU22UA45HF6FFKF4,2017,Audi,TT,deportivo,16843529-P
7388MJB,VF7JA2PL6PRPC05UW,2023,Citroën,C4,berlina,16843529-P
7255GRM,WDB29F081928CW19R,2009,Mercedes-Benz,Clase C,berlina,58474408-J
4502DGX,WF04MT4S95WA0NTM6,2005,Ford,Focus,berlina,41908544-Z
7013KDK,WF0G2D90XHTTNEVGD,2017,Ford,Focus,berlina,93244016-S
5350LJD,WDBB89SSXL21PYTAZ,2020,Mercedes-Benz,Clase A,urbano,34972498-D
2191HDR,WAU983NMXB54X09HN,2011,Audi,A3,berlina,34972498-D
1748MYF,VSSS06KK9SJB50F72,2025,Seat,Toledo,sedán,93823456-Q
3437JHT,WDBYR50E9F751NK6M,2015,Mercedes-Benz,Clase A,urbano,45966680-F
2624KBM,WAUR4PYTXHLVAVD97,2017,Audi,Q5,SUV,28552204-G
7053KRZ,WF04TCRJ3JZ6BWF88,2018,Ford,Kuga,SUV,22356874-T
1236GBN,VF7EGE7E28T0YGP09,2008,Citroën,C5 Aircross,SUV,74272808-N
0995CZP,VF7RJ9PU0469VT64N,2004,Citroën,C3,urbano,74272808-N
4974KVB,VF19388W9K3B3JUKU,2019,Renault,Clio,urbano,54431278-F
6682BWT,WF0GE081328TH7XNG,2002,Ford,Kuga,SUV,64624610-S
0819FXY,VF3GS3PE67SWZ1X9D,2007,Peugeot,208,urbano,64624610-S
0571JMY,JT2CKVGZ6GH3TRVKZ,2016,Toyota,RAV4,SUV,40102877-P
8891HML,VF1T8E3Y4CSF5VZJH,2012,Renault,Scénic,monovolumen,85753207-F
6363LVD,VF1Z19WE1MWVMCES9,2021,Renault,Scénic,monovolumen,85753207-F
7812KGN,WVWHFDJS6HJVVUUD9,2017,Volkswagen,Golf,urbano,85753207-F
8879HVZ,VF1L4LUN5E9SLAADP,2014,Renault,Mégane,berlina,52452692-L
3812HKL,WDBT6H486CWAN56WZ,2012,Mercedes-Benz,Clase A,urbano,21434099-P
8276JTR,WAU9RF2A5G0ZY8080,2016,Audi,A4,berlina,14971774-Q
5198JVH,VSSCJJ059GHD75X2P,2016,Seat,Toledo,sedán,14971774-Q
2443JKZ,VF7V3G35XFKWARR08,2015,Citroën,C3,urbano,80562752-P
4152MNT,WBABAB4U6R4XL8M2K,2024,BMW,X5,SUV,48550527-B
2927GVM,WAUPTBC06AVRRGV8Y,2010,Audi,TT,deportivo,48550527-B
8552FTP,WVWJ4UJ097NGDB8JF,2007,Volkswagen,Golf,urbano,48550527-B
2046JBL,WDBBRDP16E4UCY12N,2014,Mercedes-Benz,Clase C,berlina,64381797-J
3450LFH,WBA94F7LXLBR9MUVK,2020,BMW,X5,SUV,64381797-J
4310JVH,WVW8ZTNF5GUP3BLMM,2016,Volkswagen,Polo,urbano,64381797-J
2625JXF,VF3D4HV27H1SB2YKP,2017,Peugeot,5008,monovolumen,32906069-S
6943KPS,WDBR0BJB4JYTWY6C7,2018,Mercedes-Benz,Clase C,berlina,32906069-S
2728JZP,JT2RSUZF7HLD4ACP6,2017,Toyota,RAV4,SUV,89918149-V
2613LKF,VF38RGDU3LSUUEPV6,2020,Peugeot,208,urbano,74842958-S
2933HSR,VF126Z502DYN46UE5,2013,Renault,Clio,urbano,61741685-W
2305CRV,JT2PUZ3D543ZGWPSS,2004,Toyota,Corolla,berlina,68803316-N
1950GYX,VF12LB0W2AA47TRNV,2010,Renault,Mégane,berlina,68803316-N
9530HKL,WVWZJVTT3CPBH8MF5,2012,Volkswagen,Polo,urbano,54679966-L
6971KYN,VF3V6X8H4KWRHZUU7,2019,Peugeot,208,urbano,35177919-V
0650MCB,VF3UEPCU8N9VETPWW,2022,Peugeot,5008,monovolumen,69882884-Y
2788GZJ,WBAADXYX6ADSB8G1V,2010,BMW,Serie 3,berlina,69882884-Y
9822LMC,VSS9L0BS8LSYG7D04,2020,Seat,Ibiza,urbano,21620261-P
8387MJR,VF37GSSD2PKBZHCZ8,2023,Peugeot,208,urbano,64471023-E
2798DLD,VF17G3VX1537P9W4G,2005,Renault,Scénic,monovolumen,46540675-Z
9036KFC,WAUJ0P9U1H2L7YBJS,2017,Audi,A3,berlina,84824292-Q
0838HYD,WAUP64G23EVK911N5,2014,Audi,A4,berlina,84824292-Q
2590GLC,WAUHLLPH49HF4EK1B,2009,Audi,A4,berlina,53855932-Y
1555JXF,VF3N8TY58HX0H55TW,2017,Peugeot,5008,monovolumen,53855932-Y
